FATES_NPP_PF,FATES_RECRUITMENT_PF,FATES_NPLANT_PF,FATES_MORTALITY_PF,FATES_NPATCHES,FATES_NCOHORTS,FATES_VEGC_PF,FATES_SEED_BANK_TRS,FATES_SEEDLING_POOL_TRS,FATES_SEEDS_IN,FATES_SEEDS_IN_LOCAL,date,simYr
3.5970657563666464e-8,0.011721299029886723,0.08726243674755096,0.0016053048893809319,10,204.25,31.2729549407959,8.139199344441295e-4,0.002304381225258112,8.723494704376833e-10,0,1907-03-01,8
3.254321612189415e-8,0.01199235487729311,0.08774001896381378,0.0016139487270265818,10,200.74192810058594,31.285236358642578,9.944767225533724e-4,0.002139172051101923,7.346702690647078e-10,0,1907-04-01,8
3.2657226256560534e-8,0.010570245794951916,0.08821779489517212,0.001622897107154131,10,202.06666564941406,31.291452407836914,0.0012124830391258001,0.0019177688518539071,7.622564246467789e-10,0,1907-05-01,8
3.144342386462995e-8,0.010160463862121105,0.0886271521449089,0.0016305262688547373,10,201.64515686035156,31.29922103881836,0.0012455086689442396,0.0019114514579996467,7.498681120488015e-10,0,1907-06-01,8
3.1780672316017444e-8,0.01096914242953062,0.08908141404390335,0.001638723653741181,10,199.93333435058594,31.304983139038086,0.001076062093488872,0.0020973237697035074,7.532099943752257e-10,0,1907-07-01,8
3.188164399148263e-8,0.011580380611121655,0.08958850055932999,0.001647763536311686,10,197.61289978027344,31.31241226196289,9.086575591936707e-4,0.002276545623317361,7.555673309234123e-10,0,1907-08-01,8
2.9890248498531946e-8,0.01143654901534319,0.09013418853282928,0.0016575364861637354,10,197.4193572998047,31.31419563293457,7.907864055596292e-4,0.002378608100116253,6.819446118910832e-10,0,1907-09-01,8
2.8408541297153533e-8,0.011785561218857765,0.09068059921264648,0.001667358330450952,10,200.13333129882812,31.315082550048828,6.909823860041797e-4,0.0024536950513720512,6.256928863912492e-10,0,1907-10-01,8
3.1514286291667304e-8,0.012357443571090698,0.09124764055013657,0.0016776163829490542,10,200.48387145996094,31.316415786743164,6.097079021856189e-4,0.0025079557672142982,7.357787157324935e-10,0,1907-11-01,8
3.161050088351658e-8,0.011447854340076447,0.09179776161909103,0.0016876235604286194,10,204.1666717529297,31.32121467590332,6.318904925137758e-4,0.0024811981711536646,7.601378415600379e-10,0,1907-12-01,8
